r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.1672755942E+01 1.4866011255E+00 6.9939401329E-02 3.0935205165E-02 0.0000000000E+00 0.0309352 0.969065 1.1138503085E+01 -6.8085679082E+01 8.0517482199E+01 -1.0565836985E+02
1.1678269688E+01 1.4871533485E+00 6.7753877513E-02 3.0363026262E-02 0.0000000000E+00 0.030363 0.969637 1.0994797106E+01 -6.7323776436E+01 7.9611873574E+01 -1.0565836985E+02
1.1683511729E+01 1.4876626137E+00 6.5704415701E-02 2.9810442628E-02 0.0000000000E+00 0.0298104 0.97019 1.0862771829E+01 -6.6603937880E+01 7.8760009742E+01 -1.0565836985E+02
1.1689010040E+01 1.4881805528E+00 6.3597747008E-02 2.9225841267E-02 0.0000000000E+00 0.0292258 0.970774 1.0727930842E+01 -6.5864049883E+01 7.7885280757E+01 -1.0565836985E+02
1.1695046460E+01 1.4887304530E+00 6.1338553638E-02 2.8579738846E-02 0.0000000000E+00 0.0285797 0.97142 1.0583179941E+01 -6.5074605247E+01 7.6951085221E+01 -1.0565836985E+02
1.1703313252E+01 1.4894525101E+00 5.8328026906E-02 2.7687039036E-02 0.0000000000E+00 0.027687 0.972313 1.0388808681E+01 -6.4033163184E+01 7.5715271897E+01 -1.0565836985E+02
1.1711412447E+01 1.4901260079E+00 5.5457443529E-02 2.6801058258E-02 0.0000000000E+00 0.0268011 0.973199 1.0200823363E+01 -6.3052860590E+01 7.4546983985E+01 -1.0565836985E+02
1.1719305157E+01 1.4907507639E+00 5.2722399540E-02 2.5924373271E-02 0.0000000000E+00 0.0259244 0.974076 1.0018372906E+01 -6.2128952881E+01 7.3440625820E+01 -1.0565836985E+02
1.1726966815E+01 1.4913279837E+00 5.0119240492E-02 2.5059676384E-02 0.0000000000E+00 0.0250597 0.97494 9.8408557228E+00 -6.1255206671E+01 7.2389362427E+01 -1.0565836985E+02
1.1734389655E+01 1.4918601979E+00 4.7643884000E-02 2.4209378353E-02 0.0000000000E+00 0.0242094 0.975791 9.6677680824E+00 -6.0424682967E+01 7.1385751082E+01 -1.0565836985E+02
1.1741579291E+01 1.4923507702E+00 4.5291654607E-02 2.3375499933E-02 0.0000000000E+00 0.0233755 0.976625 9.4986593896E+00 -5.9630440345E+01 7.0422399767E+01 -1.0565836985E+02
1.1748550298E+01 1.4928034250E+00 4.3057428298E-02 2.2559674407E-02 0.0000000000E+00 0.0225597 0.97744 9.3331204074E+00 -5.8866021887E+01 6.9492442327E+01 -1.0565836985E+02
