r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.18686234E+01 1.58111587E-02 1.06496291E-02 0.00000000E+00 0.0106496 0.98935 6.42299170E+00 -4.58115964E+01 5.35278881E+01 -1.05658370E+02
1.18743469E+01 1.50405697E-02 1.02594829E-02 0.00000000E+00 0.0102595 0.989741 6.28992549E+00 -4.52333724E+01 5.28165979E+01 -1.05658370E+02
1.18800542E+01 1.43073306E-02 9.88561003E-03 0.00000000E+00 0.00988561 0.990114 6.15790705E+00 -4.46641524E+01 5.21153595E+01 -1.05658370E+02
1.18857423E+01 1.36096240E-02 9.52748267E-03 0.00000000E+00 0.00952748 0.990473 6.02696110E+00 -4.41042523E+01 5.14245135E+01 -1.05658370E+02
1.18914081E+01 1.29457258E-02 9.18457481E-03 0.00000000E+00 0.00918457 0.990815 5.89711539E+00 -4.35539565E+01 5.07443719E+01 -1.05658370E+02
1.18970482E+01 1.23139991E-02 8.85636416E-03 0.00000000E+00 0.00885636 0.991144 5.76840007E+00 -4.30135173E+01 5.00752174E+01 -1.05658370E+02
1.19026593E+01 1.17128895E-02 8.54233372E-03 0.00000000E+00 0.00854233 0.991458 5.64084707E+00 -4.24831548E+01 4.94173019E+01 -1.05658370E+02
1.19082376E+01 1.11409196E-02 8.24197319E-03 0.00000000E+00 0.00824197 0.991758 5.51448962E+00 -4.19630568E+01 4.87708465E+01 -1.05658370E+02
1.19137798E+01 1.05966849E-02 7.95478023E-03 0.00000000E+00 0.00795478 0.992045 5.38936173E+00 -4.14533796E+01 4.81360414E+01 -1.05658370E+02
1.19192822E+01 1.00788497E-02 7.68026147E-03 0.00000000E+00 0.00768026 0.99232 5.26549777E+00 -4.09542489E+01 4.75130467E+01 -1.05658370E+02
1.19247415E+01 9.58614325E-03 7.41793345E-03 0.00000000E+00 0.00741793 0.992582 5.14293206E+00 -4.04657608E+01 4.69019929E+01 -1.05658370E+02
